┏[ ajit from  MSI][ 0.007s][ RAM: 5/8GB][ Tuesday at 4:09:06 PM] [ base 3.10.13 ]
┖[~/bandwidth-1.13.2]
└─Δ ./bandwidth64
This is bandwidth version 1.13.2
Copyright (C) 2005-2023 by Zack T Smith.

This software is covered by the GNU Public License.
It is provided AS-IS, use at your own risk.
See the file COPYING for more information.

CPU family: X86
CPU make: GenuineIntelJV
CPU model: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
CPU register size: 64
CPU vector sizes: 128 256
CPU instruction set: x86_64
CPU features: adx aes avx avx2 bmi1 bmi2 cmov f16c htt hyper intel64 lzcnt mmx nx popcnt prefetchw rdseed sse sse2 sse3 sse41 sse42 ssse3
CPU core 0 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 1 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 2 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 3 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 4 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 5 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 6 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 7 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 8 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 9 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 10 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
CPU core 11 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
Memory page size: 4096 bytes
Memory available: 7855 MB
OS name: Linux
OS release: 5.15.90.1

Graph title: GenuineIntelJV Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz x86_64 Linux 5.15.90.1

Notation: B = byte, kB = 1024 B, MB = 1048576 B.

Sequential read (64-bit), size = 256 B, loops = 1346371584, 65706.1 MB/s
Sequential read (64-bit), size = 512 B, loops = 675282944, 65883.3 MB/s
Sequential read (64-bit), size = 768 B, loops = 449489150, 65816.5 MB/s
Sequential read (64-bit), size = 1024 B, loops = 336068608, 65633.3 MB/s
